-DOCSTART-	_	_	O
a	a	DET	O
1	1	NUM	O
-	-	PUNCT	O
minute	minute	NOUN	O
concert	concert	PROPN	B-VAR
commercial	commercial	NOUN	I-VAR
be	be	VERB	B-OBJ_NAME
$	$	SYM	O
30,000	30,000	NUM	B-PARAM
.	.	PUNCT	O
Avian	Avian	PROPN	O
would	would	AUX	O
like	like	VERB	O
the	the	DET	O
commercials	commercial	NOUN	O
to	to	PART	O
be	be	AUX	O
seen	see	VERB	O
by	by	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
75	86	NUM	B-LIMIT
million	million	NUM	O
young	young	ADJ	O
girls	girl	NOUN	O
and	and	CCONJ	O
72	72	NUM	B-LIMIT
million	million	NUM	O
middle	middle	NOUN	O
-	-	PUNCT	O
aged	aged	ADJ	O
women	woman	NOUN	O
.	.	PUNCT	O
Use	use	VERB	O
linear	linear	ADJ	O
programming	programming	NOUN	O
to	to	PART	O
determine	determine	VERB	O
how	how	ADV	O
Avian	avian	ADJ	O
cosmetics	cosmetic	NOUN	O
can	can	AUX	O
meet	meet	VERB	O
its	its	PRON	O
advertising	advertising	NOUN	O
requirements	requirement	NOUN	O
at	at	ADP	O
minimum	minimum	ADJ	B-OBJ_DIR
be	be	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
fruit	fruit	NOUN	O
farmer	farmer	NOUN	O
has	have	VERB	O
two	two	NUM	O
small	small	ADJ	O
farms	farm	NOUN	O
where	where	ADV	O
he	he	PRON	O
grows	grow	VERB	O
apples	apple	NOUN	O
,	,	PUNCT	O
oranges	orange	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
pears	pear	NOUN	O
.	.	PUNCT	O
It	it	PRON	O
cost	cost	VERB	B-OBJ_NAME
$	$	SYM	O
500	500	NUM	B-PARAM
per	per	ADP	O
day	day	NOUN	O
to	to	PART	O
operate	operate	VERB	O
farm	farm	NOUN	B-VAR
2	2	NUM	I-VAR
and	and	CCONJ	O
$	$	SYM	O
370	400	NUM	B-PARAM
per	per	ADP	O
day	day	NOUN	O
to	to	PART	O
operate	operate	VERB	O
farm	farm	NOUN	B-VAR
1	1	NUM	I-VAR
.	.	PUNCT	O
In	in	ADP	O
a	a	DET	O
day	day	NOUN	O
,	,	PUNCT	O
farm	farm	NOUN	B-VAR
2	2	NUM	I-VAR
yields	yield	NOUN	O
9	10	NUM	B-PARAM
apples	apple	NOUN	O
,	,	PUNCT	O
15	15	NUM	B-PARAM
oranges	orange	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
5	5	NUM	B-PARAM
pears	pear	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
a	a	DET	O
day	day	NOUN	O
,	,	PUNCT	O
farm	farm	NOUN	B-VAR
1	1	NUM	I-VAR
yields	yield	NOUN	O
5	7	NUM	B-PARAM
apples	apple	NOUN	O
,	,	PUNCT	O
8	8	NUM	B-PARAM
oranges	orange	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
7	9	NUM	B-PARAM
pears	pear	NOUN	O
.	.	PUNCT	O
The	the	DET	O
farmer	farmer	NOUN	O
must	must	AUX	O
provide	provide	VERB	B-CONST_DIR
49	50	NUM	B-LIMIT
apples	apple	NOUN	O
,	,	PUNCT	O
60	60	NUM	B-LIMIT
oranges	orange	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
45	55	NUM	B-LIMIT
pears	pear	NOUN	O
to	to	ADP	O
the	the	DET	O
market	market	NOUN	O
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
the	the	DET	O
farmer	farmer	NOUN	O
's	's	PART	O
cost	cost	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
store	store	NOUN	O
manufactures	manufacture	VERB	O
2	2	NUM	O
types	type	NOUN	O
of	of	ADP	O
tools	tool	NOUN	O
,	,	PUNCT	O
screwdrivers	screwdriver	NOUN	B-VAR
and	and	CCONJ	O
hammers	hammer	NOUN	B-VAR
,	,	PUNCT	O
which	which	DET	O
require	require	VERB	O
the	the	DET	O
use	use	NOUN	O
of	of	ADP	O
two	two	NUM	O
machines	machine	NOUN	O
,	,	PUNCT	O
a	a	DET	O
lathe	lathe	NOUN	O
and	and	CCONJ	O
a	a	DET	O
CNG	CNG	PROPN	O
.	.	PUNCT	O
It	it	PRON	O
takes	take	VERB	O
22	28	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
lathe	lathe	NOUN	O
and	and	CCONJ	O
73	82	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
CNG	CNG	PROPN	O
machine	machine	NOUN	O
to	to	PART	O
manufacture	manufacture	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
screwdrivers	screwdriver	NOUN	B-VAR
,	,	PUNCT	O
while	while	SCONJ	O
it	it	PRON	O
takes	take	VERB	O
23	23	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
lathe	lathe	NOUN	O
and	and	CCONJ	O
76	76	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
CNG	CNG	PROPN	O
machine	machine	NOUN	O
to	to	PART	O
manufacture	manufacture	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
hammers	hammer	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
machine	machine	NOUN	O
is	be	AUX	O
available	available	ADJ	O
for	for	ADP	O
a	a	DET	O
maximum	maximum	NOUN	B-CONST_DIR
of	of	ADP	O
720	720	NUM	B-LIMIT
minutes	minute	NOUN	O
on	on	ADP	O
any	any	DET	O
day	day	NOUN	O
.	.	PUNCT	O
The	the	DET	O
manufacturer	manufacturer	NOUN	O
can	can	AUX	O
sell	sell	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
screwdrivers	screwdriver	NOUN	B-VAR
at	at	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
72	72	NUM	B-PARAM
and	and	CCONJ	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
hammers	hammer	NOUN	B-VAR
at	at	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
76	70	NUM	B-PARAM
.	.	PUNCT	O
Assuming	assume	VERB	O
that	that	SCONJ	O
he	he	PRON	O
can	can	AUX	O
sell	sell	VERB	O
all	all	DET	O
the	the	DET	O
tools	tool	NOUN	O
he	he	PRON	O
manufactures	manufacture	VERB	O
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
packages	package	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
should	should	AUX	O
the	the	DET	O
store	store	NOUN	O
owner	owner	NOUN	O
produce	produce	VERB	O
in	in	ADP	O
a	a	DET	O
day	day	NOUN	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
his	his	PRON	O
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O
Determine	determine	VERB	O
the	the	DET	O
maximum	maximum	ADJ	O
profit	profit	NOUN	O
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
furniture	furniture	NOUN	O
maker	maker	NOUN	O
creates	create	VERB	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
tables	table	NOUN	O
,	,	PUNCT	O
dining	dine	VERB	B-VAR
table	table	NOUN	I-VAR
and	and	CCONJ	O
standing	stand	VERB	B-VAR
table	table	NOUN	I-VAR
.	.	PUNCT	O
It	it	PRON	O
takes	take	VERB	O
2	2	NUM	B-PARAM
hours	hour	NOUN	O
to	to	PART	O
produce	produce	VERB	O
the	the	DET	O
parts	part	NOUN	O
of	of	ADP	O
a	a	DET	O
dining	dine	VERB	B-VAR
table	table	NOUN	I-VAR
and	and	CCONJ	O
4	4	NUM	B-PARAM
hours	hour	NOUN	O
for	for	ADP	O
those	those	DET	O
of	of	ADP	O
a	a	DET	O
standing	stand	VERB	B-VAR
table	table	NOUN	I-VAR
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
it	it	PRON	O
takes	take	VERB	O
1	1	NUM	B-PARAM
hour	hour	NOUN	O
and	and	CCONJ	O
2.5	2.5	NUM	B-PARAM
hours	hour	NOUN	O
to	to	PART	O
assemble	assemble	VERB	O
a	a	DET	O
standing	stand	VERB	B-VAR
table	table	NOUN	I-VAR
and	and	CCONJ	O
dining	dine	VERB	B-VAR
table	table	NOUN	I-VAR
respectively	respectively	ADV	O
.	.	PUNCT	O
Finally	finally	ADV	O
,	,	PUNCT	O
polishing	polish	VERB	O
a	a	DET	O
standing	stand	VERB	B-VAR
table	table	NOUN	I-VAR
takes	take	VERB	O
1.5	1.5	NUM	B-PARAM
hours	hour	NOUN	O
whereas	whereas	SCONJ	O
polishing	polish	VERB	O
a	a	DET	O
dining	dine	VERB	B-VAR
table	table	NOUN	I-VAR
requires	require	VERB	O
2	2	NUM	B-PARAM
hours	hour	NOUN	O
.	.	PUNCT	O
Every	every	DET	O
month	month	NOUN	O
,	,	PUNCT	O
there	there	PRON	O
are	be	AUX	O
a	a	DET	O
total	total	NOUN	O
of	of	ADP	O
6246	6000	NUM	B-LIMIT
hours	hour	NOUN	O
available	available	ADJ	B-CONST_DIR
for	for	ADP	O
producing	produce	VERB	O
the	the	DET	O
parts	part	NOUN	O
,	,	PUNCT	O
3000	3000	NUM	B-LIMIT
hours	hour	NOUN	O
for	for	ADP	O
assembling	assemble	VERB	O
the	the	DET	O
parts	part	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
4500	4500	NUM	B-LIMIT
hours	hour	NOUN	O
for	for	ADP	O
polishing	polish	VERB	O
the	the	DET	O
tables	table	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
net	net	NOUN	B-OBJ_NAME
made	make	VERB	O
on	on	ADP	O
a	a	DET	O
dining	dine	VERB	B-VAR
table	table	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
45	45	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
net	net	NOUN	B-OBJ_NAME
on	on	ADP	O
a	a	DET	O
standing	stand	VERB	B-VAR
table	table	NOUN	I-VAR
$	$	SYM	O
95	95	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
tables	table	NOUN	O
should	should	AUX	O
be	be	AUX	O
manufactured	manufacture	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
total	total	ADJ	O
monthly	monthly	ADJ	O
net	net	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
laundromat	laundromat	NOUN	O
mixes	mix	VERB	O
cans	can	NOUN	O
of	of	ADP	O
product	product	NOUN	O
from	from	ADP	O
two	two	NUM	O
companies	company	NOUN	O
,	,	PUNCT	O
Omini	omini	NOUN	B-VAR
and	and	CCONJ	O
Omega	omega	NOUN	B-VAR
,	,	PUNCT	O
to	to	PART	O
create	create	VERB	O
a	a	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
from	from	ADP	O
Omini	omini	NOUN	B-VAR
cost	cost	VERB	B-OBJ_NAME
$	$	SYM	O
30	30	NUM	B-PARAM
while	while	SCONJ	O
a	a	DET	O
can	can	NOUN	O
from	from	ADP	O
Omega	omega	NOUN	B-VAR
cost	cost	VERB	B-OBJ_NAME
$	$	SYM	O
34	40	NUM	B-PARAM
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
from	from	ADP	O
Omini	omini	NOUN	B-VAR
contains	contain	VERB	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
water	water	NOUN	O
,	,	PUNCT	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
detergent	detergent	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
6	6	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
bleach	bleach	NOUN	O
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
from	from	ADP	O
Omega	omega	NOUN	B-VAR
contains	contain	VERB	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
water	water	NOUN	O
,	,	PUNCT	O
4	6	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
detergent	detergent	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
4	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
bleach	bleach	NOUN	O
.	.	PUNCT	O
The	the	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
must	must	AUX	O
contain	contain	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
30	30	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
water	water	NOUN	O
,	,	PUNCT	O
35	35	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
detergent	detergent	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
40	40	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
bleach	bleach	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
cans	can	NOUN	O
from	from	ADP	O
each	each	DET	O
brand	brand	NOUN	O
should	should	AUX	O
be	be	AUX	O
used	use	VERB	O
to	to	PART	O
create	create	VERB	O
the	the	DET	O
mixture	mixture	NOUN	O
at	at	ADP	O
minimum	minimum	ADJ	B-OBJ_DIR
cost	cost	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
company	company	NOUN	O
manufactures	manufacture	VERB	O
two	two	NUM	O
calculators	calculator	NOUN	O
:	:	PUNCT	O
graphing	graph	VERB	B-VAR
and	and	CCONJ	O
scientific	scientific	ADJ	B-VAR
calculator	calculator	NOUN	I-VAR
,	,	PUNCT	O
using	use	VERB	O
silicon	silicon	NOUN	O
,	,	PUNCT	O
plastic	plastic	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
silver	silver	NOUN	O
.	.	PUNCT	O
To	to	PART	O
make	make	VERB	O
a	a	DET	O
scientific	scientific	ADJ	B-VAR
calculator	calculator	NOUN	I-VAR
,	,	PUNCT	O
2	2	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
silicon	silicon	NOUN	O
,	,	PUNCT	O
3	4	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
plastic	plastic	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
1	1	NUM	B-PARAM
gram	gram	NOUN	O
of	of	ADP	O
silver	silver	NOUN	O
are	be	AUX	O
needed	need	VERB	O
.	.	PUNCT	O
The	the	DET	O
profits	profits	NOUN	B-OBJ_NAME
per	per	ADP	O
scientific	scientific	ADJ	B-VAR
calculator	calculator	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
6	6	NUM	B-PARAM
.	.	PUNCT	O
To	to	PART	O
make	make	VERB	O
a	a	DET	O
scientific	scientific	ADJ	B-VAR
calculator	calculator	NOUN	I-VAR
,	,	PUNCT	O
3	4	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
silicon	silicon	NOUN	O
,	,	PUNCT	O
7	6	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
plastic	plastic	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
2	2	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
silver	silver	NOUN	O
are	be	AUX	O
needed	need	VERB	O
.	.	PUNCT	O
The	the	DET	O
profits	profits	NOUN	B-OBJ_NAME
per	per	ADP	O
scientific	scientific	ADJ	B-VAR
is	be	AUX	O
$	$	SYM	O
8	8	NUM	B-PARAM
.	.	PUNCT	O
Even	even	ADV	O
though	though	SCONJ	O
the	the	DET	O
company	company	NOUN	O
can	can	AUX	O
sell	sell	VERB	O
as	as	ADV	O
many	many	ADJ	O
calculators	calculator	NOUN	O
as	as	ADP	O
it	it	PRON	O
produces	produce	VERB	O
,	,	PUNCT	O
there	there	PRON	O
is	be	AUX	O
only	only	ADV	B-CONST_DIR
107	100	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
silicon	silicon	NOUN	O
,	,	PUNCT	O
200	200	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
plastic	plastic	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
50	50	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
silver	silver	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profits	profits	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
peanut	peanut	NOUN	O
farmer	farmer	NOUN	O
has	have	VERB	O
to	to	PART	O
send	send	VERB	O
his	his	PRON	O
product	product	NOUN	O
to	to	ADP	O
the	the	DET	O
city	city	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
can	can	AUX	O
transport	transport	VERB	O
his	his	PRON	O
peanut	peanut	NOUN	O
packages	package	NOUN	O
on	on	ADP	O
the	the	DET	O
truck	truck	NOUN	B-VAR
trips	trip	NOUN	I-VAR
which	which	DET	O
can	can	AUX	O
take	take	VERB	O
80	80	NUM	B-PARAM
parcel	parcel	NOUN	B-OBJ_NAME
per	per	ADP	O
trip	trip	NOUN	O
or	or	CCONJ	O
by	by	ADP	O
train	train	NOUN	B-VAR
which	which	DET	O
can	can	AUX	O
take	take	VERB	O
57	50	NUM	B-PARAM
parcel	parcel	NOUN	B-OBJ_NAME
per	per	ADP	O
trip	trip	NOUN	O
.	.	PUNCT	O
The	the	DET	O
cost	cost	NOUN	O
per	per	ADP	O
truck	truck	NOUN	B-VAR
trip	trip	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
50	50	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
cost	cost	NOUN	O
per	per	ADP	O
train	train	NOUN	B-VAR
trips	trip	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
40	40	NUM	B-PARAM
.	.	PUNCT	O
He	he	PRON	O
wants	want	VERB	O
to	to	PART	O
spend	spend	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
3000	3000	NUM	B-LIMIT
and	and	CCONJ	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
truck	truck	NOUN	B-VAR
must	must	AUX	B-CONST_DIR
not	not	PART	I-CONST_DIR
exceed	exceed	VERB	I-CONST_DIR
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
train	train	NOUN	B-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
number	number	NOUN	B-OBJ_NAME
of	of	ADP	I-OBJ_NAME
peanut	peanut	NOUN	I-OBJ_NAME
parcel	parcel	NOUN	I-OBJ_NAME
that	that	DET	O
can	can	AUX	O
be	be	AUX	O
transported	transport	VERB	O
.	.	PUNCT	O
.	.	PUNC	O

Emma	Emma	PROPN	O
makes	make	VERB	O
fancy	fancy	ADJ	O
suits	suit	NOUN	B-VAR
and	and	CCONJ	O
dress	dress	VERB	B-VAR
in	in	ADP	O
her	her	PRON	O
shop	shop	NOUN	O
.	.	PUNCT	O
Both	both	DET	O
of	of	ADP	O
these	these	DET	O
items	item	NOUN	O
require	require	VERB	O
use	use	NOUN	O
of	of	ADP	O
a	a	DET	O
sewing	sew	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
embroidery	embroidery	NOUN	O
machine	machine	NOUN	O
.	.	PUNCT	O
A	a	DET	O
suits	suit	NOUN	B-VAR
requires	require	VERB	O
2	2	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
sewing	sew	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
4	4	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
embroidery	embroidery	NOUN	O
machine	machine	NOUN	O
.	.	PUNCT	O
A	a	DET	O
dresses	dress	NOUN	B-VAR
requires	require	VERB	O
0	1	NUM	B-PARAM
hour	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
sewing	sew	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
1	1	NUM	B-PARAM
hour	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
embroidery	embroidery	NOUN	O
machine	machine	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
a	a	DET	O
week	week	NOUN	O
,	,	PUNCT	O
there	there	PRON	O
are	be	AUX	O
29	30	NUM	B-LIMIT
hours	hour	NOUN	O
available	available	ADJ	B-CONST_DIR
on	on	ADP	O
the	the	DET	O
sewing	sew	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
50	50	NUM	B-LIMIT
hours	hour	NOUN	O
available	available	ADJ	B-CONST_DIR
on	on	ADP	O
the	the	DET	O
embroidery	embroidery	NOUN	O
machine	machine	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
earnings	earnings	NOUN	B-OBJ_NAME
per	per	ADP	O
suit	suit	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
500	500	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
earnings	earnings	NOUN	B-OBJ_NAME
per	per	ADP	O
dress	dress	VERB	B-VAR
is	be	VERB	O
$	$	SYM	O
800	800	NUM	B-PARAM
,	,	PUNCT	O
what	what	PRON	O
should	should	AUX	O
the	the	DET	O
weekly	weekly	ADJ	O
production	production	NOUN	O
be	be	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
earnings	earnings	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
company	company	NOUN	O
has	have	VERB	O
local	local	ADJ	B-VAR
employees	employee	NOUN	I-VAR
realise	realise	VERB	B-OBJ_NAME
$	$	SYM	O
500	500	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
and	and	CCONJ	O
international	international	ADJ	B-VAR
employees	employee	NOUN	I-VAR
realise	realise	VERB	B-OBJ_NAME
$	$	SYM	O
1200	1200	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
.	.	PUNCT	O
The	the	DET	O
projects	project	NOUN	O
require	require	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
48	50	NUM	B-LIMIT
employees	employee	NOUN	O
,	,	PUNCT	O
of	of	ADP	O
whom	whom	PRON	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
11	12	NUM	B-LIMIT
have	have	VERB	O
to	to	PART	O
be	be	VERB	O
international	international	ADJ	B-VAR
employees	employee	NOUN	I-VAR
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
corporate	corporate	ADJ	O
law	law	NOUN	O
,	,	PUNCT	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
international	international	ADJ	B-VAR
employees	employee	NOUN	I-VAR
should	should	AUX	O
be	be	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADJ	I-CONST_DIR
a	a	DET	O
third	third	NOUN	B-PARAM
of	of	ADP	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
local	local	ADJ	B-VAR
employees	employee	NOUN	I-VAR
.	.	PUNCT	O
It	it	PRON	O
is	be	AUX	O
also	also	ADV	O
required	require	VERB	O
to	to	PART	O
keep	keep	VERB	O
the	the	DET	O
weekly	weekly	ADJ	O
wage	wage	NOUN	O
bill	bill	NOUN	O
below	below	ADP	B-CONST_DIR
$	$	SYM	O
40000	40000	NUM	B-LIMIT
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
the	the	DET	B-OBJ_NAME
wage	wage	NOUN	I-OBJ_NAME
bill	bill	NOUN	I-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

My	my	PRON	O
cousin	cousin	NOUN	O
sells	sell	VERB	O
two	two	NUM	O
different	different	ADJ	O
coffee	coffee	NOUN	O
blends	blend	NOUN	O
:	:	PUNCT	O
the	the	DET	O
Victoriaville	Victoriaville	PROPN	B-VAR
blend	blend	NOUN	I-VAR
and	and	CCONJ	O
the	the	DET	O
Drummondville	drummondville	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
blend	blend	NOUN	O
contains	contain	VERB	O
both	both	CCONJ	O
arabica	arabica	NOUN	O
and	and	CCONJ	O
robusta	robusta	NOUN	O
coffee	coffee	NOUN	O
beans	bean	NOUN	O
.	.	PUNCT	O
A	a	DET	O
bag	bag	NOUN	O
of	of	ADP	O
the	the	DET	O
Victoriaville	Victoriaville	PROPN	B-VAR
blend	blend	NOUN	I-VAR
contains	contain	VERB	O
600	600	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
arabica	arabica	NOUN	O
beans	bean	NOUN	O
and	and	CCONJ	O
400	400	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
robusta	robusta	NOUN	O
beans	bean	NOUN	O
,	,	PUNCT	O
whereas	whereas	SCONJ	O
a	a	DET	O
bag	bag	NOUN	O
of	of	ADP	O
the	the	DET	O
Drummondville	drummondville	NOUN	B-VAR
blend	blend	NOUN	I-VAR
contains	contain	VERB	O
375	375	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
arabica	arabica	NOUN	O
beans	bean	NOUN	O
and	and	CCONJ	O
625	625	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
robusta	robusta	NOUN	O
beans	bean	NOUN	O
.	.	PUNCT	O
The	the	DET	O
gain	gain	NOUN	B-OBJ_NAME
from	from	ADP	O
each	each	DET	O
bag	bag	NOUN	O
of	of	ADP	O
Victoriaville	Victoriaville	PROPN	B-VAR
blend	blend	NOUN	I-VAR
sold	sell	VERB	O
is	be	AUX	O
$	$	SYM	O
5	5	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
gain	gain	NOUN	B-OBJ_NAME
from	from	ADP	O
each	each	DET	O
bag	bag	NOUN	O
of	of	ADP	O
Drummondville	drummondville	NOUN	B-VAR
blend	blend	NOUN	I-VAR
sold	sell	VERB	O
is	be	VERB	O
$	$	SYM	O
7	7	NUM	B-PARAM
.	.	PUNCT	O
If	if	SCONJ	O
his	his	PRON	O
total	total	ADJ	O
production	production	NOUN	O
must	must	AUX	O
not	not	PART	O
exceed	exceed	VERB	O
his	his	PRON	O
available	available	ADJ	B-CONST_DIR
stock	stock	NOUN	I-CONST_DIR
of	of	ADP	O
26811	24000	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
arabica	arabica	NOUN	O
beans	bean	NOUN	O
and	and	CCONJ	O
17000	17000	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
robusta	robusta	NOUN	O
beans	bean	NOUN	O
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
bags	bag	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
blend	blend	NOUN	O
should	should	AUX	O
be	be	AUX	O
blended	blend	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
